index,name,score
303,channel-3 amplitude-landscape-1-1 norm-2,0.0244220341572755
304,channel-3 amplitude-landscape-1-2 dim-1,0.0395774200171071
305,channel-3 amplitude-landscape-1-2 dim-2,0.0334940030936405
306,channel-3 amplitude-landscape-1-2 norm-1,0.0740203143531668
307,channel-3 amplitude-landscape-1-2 norm-2,0.0394898590754077
308,channel-3 amplitude-landscape-2-1 dim-1,0.0016848660462562
309,channel-3 amplitude-landscape-2-1 dim-2,-0.0148168268721343
310,channel-3 amplitude-landscape-2-1 norm-1,0.0123952412990864
311,channel-3 amplitude-landscape-2-1 norm-2,-0.0023570564013762
312,channel-3 amplitude-landscape-2-2 dim-1,0.0377533547785024
313,channel-3 amplitude-landscape-2-2 dim-2,-0.0148426857035663
314,channel-3 amplitude-landscape-2-2 norm-1,0.0192164407592929
315,channel-3 amplitude-landscape-2-2 norm-2,0.0176539213337018
316,channel-3 amplitude-silhouette-1-1 dim-1,0.04511031796944
317,channel-3 amplitude-silhouette-1-1 dim-2,0.0334392432706458
318,channel-3 amplitude-silhouette-1-1 norm-1,0.0237719541281938
319,channel-3 amplitude-silhouette-1-1 norm-2,-0.0027365850386418
320,channel-3 amplitude-silhouette-1-2 dim-1,0.0589260262433112
321,channel-3 amplitude-silhouette-1-2 dim-2,0.0009986851965702
322,channel-3 amplitude-silhouette-1-2 norm-1,0.0491670555449806
323,channel-3 amplitude-silhouette-1-2 norm-2,0.033131531926064
324,channel-3 amplitude-silhouette-2-1 dim-1,0.0204484665607019
325,channel-3 amplitude-silhouette-2-1 dim-2,-0.0028904354424073
326,channel-3 amplitude-silhouette-2-1 norm-1,0.0058735675100464
327,channel-3 amplitude-silhouette-2-1 norm-2,0.0494978525170756
328,channel-3 amplitude-silhouette-2-2 dim-1,0.012389462671799
329,channel-3 amplitude-silhouette-2-2 dim-2,0.0021542765689732
330,channel-3 amplitude-silhouette-2-2 norm-1,0.0124616043285253
331,channel-3 amplitude-silhouette-2-2 norm-2,0.0112314912148324
