name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 amplitude-landscape-1-1 norm-2,2017,1.5883931973538088,0.2693206770784399,0.777529841646735,0.682500603976716,1788,114,1674,channel-0,amplitude-landscape-1-1,norm-2,
channel-0 amplitude-landscape-1-2 dim-1,2017,1.3059997512553472,0.2214393374753398,0.791046714855264,0.6943654529311426,2363,106,2257,channel-0,amplitude-landscape-1-2,dim-1,
channel-0 amplitude-landscape-1-2 dim-2,2017,1.1419397954878276,0.193622082627877,0.4480716812452117,0.39330862520600424,2942,792,2150,channel-0,amplitude-landscape-1-2,dim-2,
channel-0 amplitude-landscape-1-2 norm-1,2017,1.4628428512355949,0.2480329353024606,0.8401943503822569,0.7375062934938129,1997,78,1919,channel-0,amplitude-landscape-1-2,norm-1,
channel-0 amplitude-landscape-1-2 norm-2,2017,1.3172119524450243,0.2233404269668928,0.8019078475181654,0.7038991443796945,2316,97,2219,channel-0,amplitude-landscape-1-2,norm-2,
channel-0 amplitude-landscape-2-1 dim-1,2017,1.1503190001898644,0.1950428222076554,0.7620896143657421,0.6689474721477214,2895,132,2763,channel-0,amplitude-landscape-2-1,dim-1,
channel-0 amplitude-landscape-2-1 dim-2,2017,0.9660676667175012,0.163802009815578,0.43943206701256166,0.3857249395182355,3687,816,2871,channel-0,amplitude-landscape-2-1,dim-2,
channel-0 amplitude-landscape-2-1 norm-1,2017,1.1778263267087186,0.1997068385324655,0.8220989812044219,0.7216225296412286,2799,85,2714,channel-0,amplitude-landscape-2-1,norm-1,
channel-0 amplitude-landscape-2-1 norm-2,2017,1.269128762793994,0.2151876615090198,0.8002524331619034,0.702446053787586,2481,100,2381,channel-0,amplitude-landscape-2-1,norm-2,
channel-0 amplitude-landscape-2-2 dim-1,2017,1.695114678222411,0.2874158826825869,0.7824003643687855,0.6867758542905066,1576,113,1463,channel-0,amplitude-landscape-2-2,dim-1,
channel-0 amplitude-landscape-2-2 dim-2,2017,0.9245369232367484,0.15676024712581,0.4146045487719562,0.3639318258821483,3891,930,2961,channel-0,amplitude-landscape-2-2,dim-2,
channel-0 amplitude-landscape-2-2 norm-1,2017,1.2495664870780128,0.2118707716168947,0.8448147108570193,0.7415619562423152,2526,71,2455,channel-0,amplitude-landscape-2-2,norm-1,
channel-0 amplitude-landscape-2-2 norm-2,2017,1.1791555055908696,0.1999322080172352,0.8088804072538651,0.7100195219857812,2796,93,2703,channel-0,amplitude-landscape-2-2,norm-2,
channel-0 amplitude-silhouette-1-1 dim-1,2017,1.2305522455125462,0.2086468038858091,0.774709668749728,0.6800251109442562,2583,119,2464,channel-0,amplitude-silhouette-1-1,dim-1,
channel-0 amplitude-silhouette-1-1 dim-2,2017,1.2733281402415235,0.215899688719512,0.4011619583480778,0.3521321809143388,2468,1007,1461,channel-0,amplitude-silhouette-1-1,dim-2,
channel-0 amplitude-silhouette-1-1 norm-1,2017,1.3934583794420994,0.2362684219859309,0.7570356556690954,0.6645112052957259,2127,133,1994,channel-0,amplitude-silhouette-1-1,norm-1,
channel-0 amplitude-silhouette-1-1 norm-2,2017,1.4742044113316142,0.2499593494062386,0.768872225073731,0.6749011161839906,1968,123,1845,channel-0,amplitude-silhouette-1-1,norm-2,
channel-0 amplitude-silhouette-1-2 dim-1,2017,1.1910868556916523,0.2019552331050762,0.6959434250105032,0.6108856309583257,2741,188,2553,channel-0,amplitude-silhouette-1-2,dim-1,
channel-0 amplitude-silhouette-1-2 dim-2,2017,1.1891026429461489,0.2016187990779241,0.33473376415986167,0.2938228013559671,2751,1528,1223,channel-0,amplitude-silhouette-1-2,dim-2,
channel-0 amplitude-silhouette-1-2 norm-1,2017,1.1000814167590254,0.1865247676057353,0.7054904153678871,0.6192657937971879,3071,174,2897,channel-0,amplitude-silhouette-1-2,norm-1,
channel-0 amplitude-silhouette-1-2 norm-2,2017,1.1620989268119684,0.19704017262384,0.6957597441112073,0.6107243994299731,2853,192,2661,channel-0,amplitude-silhouette-1-2,norm-2,
channel-0 amplitude-silhouette-2-1 dim-1,2017,1.151879782336838,0.1953074612814661,0.6195983823657621,0.5438714343002151,2887,310,2577,channel-0,amplitude-silhouette-2-1,dim-1,
channel-0 amplitude-silhouette-2-1 dim-2,2017,0.9227575326517,0.1564585418062767,0.29326574589584775,0.2574229797736004,3899,1889,2010,channel-0,amplitude-silhouette-2-1,dim-2,
channel-0 amplitude-silhouette-2-1 norm-1,2017,1.2441597641616404,0.2109540324373019,0.5883275418765974,0.5164224974523208,2543,366,2177,channel-0,amplitude-silhouette-2-1,norm-1,
channel-0 amplitude-silhouette-2-1 norm-2,2017,1.2447087090838338,0.2110471090246168,0.6073436667323565,0.5331144827681061,2541,339,2202,channel-0,amplitude-silhouette-2-1,norm-2,
channel-0 amplitude-silhouette-2-2 dim-1,2017,1.0595598082087283,0.1796541092138116,0.5328328088099311,0.4677102978596849,3245,541,2704,channel-0,amplitude-silhouette-2-2,dim-1,
channel-0 amplitude-silhouette-2-2 dim-2,2017,0.9167197506440168,0.1554348031368652,0.25546536351860394,0.22424253778775932,3928,2291,1637,channel-0,amplitude-silhouette-2-2,dim-2,
channel-0 amplitude-silhouette-2-2 norm-1,2017,1.18405940178728,0.200763690200702,0.4924515581899019,0.43226441982221286,2772,660,2112,channel-0,amplitude-silhouette-2-2,norm-1,
channel-0 amplitude-silhouette-2-2 norm-2,2017,1.1141872722215802,0.1889164918653675,0.5315759034969092,0.46660701077109906,3020,547,2473,channel-0,amplitude-silhouette-2-2,norm-2,
channel-0 life all max,2017,0.8559334310558625,0.1451281531361843,0.5736300391404484,0.503521314813303,4289,401,3888,channel-0,life,all,max
channel-0 life all mean,2017,1.1075179283329786,0.1877856684554338,0.8341426573816937,0.7321942348347928,3050,82,2968,channel-0,life,all,mean
channel-0 life all std,2017,1.110266014780608,0.1882516214096385,0.7878689781314482,0.6915760973114407,3035,108,2927,channel-0,life,all,std
channel-0 life all sum,2017,0.9992383980527696,0.1694262871275713,0.6990689158999477,0.6136291261986522,3524,185,3339,channel-0,life,all,sum
channel-0 life all percentile-25,2016,1.1167169002107142,0.1893454040037002,0.5687576984159326,0.49924446869223377,3013,420,2593,channel-0,life,all,percentile-25
channel-0 life all median,2015,0.9635530816505548,0.1633756482862479,0.7296492592738647,0.6404719580805909,3701,148,3553,channel-0,life,all,median
channel-0 life all percentile-75,2017,1.0620037291406563,0.1800684892559885,0.8109111929064792,0.7118021062162732,3234,91,3143,channel-0,life,all,percentile-75
