index,name,score,mean,variance,unique_values
120,channel-1 amplitude-landscape-1-2 dim-1,1.0334188082278672,-1.49444934863501e-16,1.0000000000000002,1046
121,channel-1 amplitude-landscape-1-2 dim-2,0.6852828569156775,-5.264537478146058e-17,1.0,1015
122,channel-1 amplitude-landscape-1-2 norm-1,1.0155150493099556,-4.0757709508227546e-17,1.0,1046
123,channel-1 amplitude-landscape-1-2 norm-2,1.0326211001343302,1.2227312852468263e-16,0.9999999999999998,1046
124,channel-1 amplitude-landscape-2-1 dim-1,1.0641323392517088,1.3585903169409181e-17,1.0,1046
125,channel-1 amplitude-landscape-2-1 dim-2,0.5546688682076395,4.415418530057984e-17,1.0,1015
126,channel-1 amplitude-landscape-2-1 norm-1,0.9667659188468007,1.0868722535527345e-16,1.0000000000000002,1046
127,channel-1 amplitude-landscape-2-1 norm-2,1.0271639539342392,-2.7171806338818362e-17,1.0,1046
128,channel-1 amplitude-landscape-2-2 dim-1,1.0061157754815553,-5.4343612677636724e-17,1.0000000000000002,1046
129,channel-1 amplitude-landscape-2-2 dim-2,0.4516263444203862,5.604185057381287e-17,1.0000000000000002,1015
130,channel-1 amplitude-landscape-2-2 norm-1,0.907694632252646,-1.7661674120231937e-16,1.0000000000000002,1046
131,channel-1 amplitude-landscape-2-2 norm-2,1.002571280661162,-2.7171806338818362e-17,0.9999999999999998,1046
132,channel-1 amplitude-silhouette-1-1 dim-1,1.286239090068509,2.7171806338818362e-17,1.0,1046
133,channel-1 amplitude-silhouette-1-1 dim-2,1.0530662891962896,2.7171806338818362e-17,1.0000000000000002,1015
134,channel-1 amplitude-silhouette-1-1 norm-1,1.2602217995967933,-8.151541901645509e-17,1.0,1046
135,channel-1 amplitude-silhouette-1-1 norm-2,1.2800035540523758,-4.0757709508227546e-17,0.9999999999999996,1046
136,channel-1 amplitude-silhouette-1-2 dim-1,1.2908342039932257,-1.3585903169409181e-17,0.9999999999999998,1046
137,channel-1 amplitude-silhouette-1-2 dim-2,0.8541132724645945,-4.160682845631562e-17,1.0,1015
138,channel-1 amplitude-silhouette-1-2 norm-1,1.2752952682214693,-4.0757709508227546e-17,0.9999999999999998,1046
139,channel-1 amplitude-silhouette-1-2 norm-2,1.2880464233675415,6.792951584704591e-17,1.0,1046
140,channel-1 amplitude-silhouette-2-1 dim-1,1.2245975991259057,1.7661674120231937e-16,1.0,1046
141,channel-1 amplitude-silhouette-2-1 dim-2,0.9127894240325771,-1.0529074956292116e-16,0.9999999999999998,1015
142,channel-1 amplitude-silhouette-2-1 norm-1,1.1587766128491799,-2.7171806338818362e-17,1.0000000000000002,1046
