,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
330,0,50,20,Median,40,[   0   71  424  753 1270 1327 1698 1881 1922],8,517,41,240.25,32143.03413268581,20.689757707447207,0.03671060613863458,79.51126588849988,3.7800902752663195,0.24859824678076095,53.32382860086053,2.6673813218709372,0.8784853368930824,0.8544986177926528,0.8815022835425538
331,0,50,20,Mode,40,[   0   71  424  758 1270 1327 1698 1880 1922],8,512,42,240.25,32520.821804862277,20.81770680804567,0.03561434820414866,80.43678291173731,3.7327315481902748,0.25496608467889814,55.35847444777365,2.661011239879457,0.8840513321862274,0.8620312793156168,0.8876101088738149
332,0,50,20,Median,40,[   0   71  424  633  693  753 1270 1327 1502 1634 1698 1881 1922],12,517,41,160.16666666666666,19817.406472132574,17.91513532786974,-0.06945408270630304,55.216383120435204,3.9505359596812095,0.17481642974994183,34.03507175199109,2.6779797973734265,0.8630807894667852,0.7936295169497913,0.8233459611810955
333,0,50,20,Mode,40,[   0   71  209  424  633  693  758 1270 1327 1501 1640 1698 1880 1922],13,512,42,147.84615384615384,18393.478833529673,17.52076193800262,-0.0691330157634156,51.84506260676002,4.04657561574884,0.171457165073816,35.09838569133624,2.767740363907102,0.8758379140586834,0.8107827863276299,0.8347064326433001
334,0,50,20,Median,40,[   0   71  424  633  693  753 1270 1327 1502 1634 1698 1880 1922],12,517,42,160.16666666666666,20024.13602925935,17.969797146483895,-0.06707262047722413,55.730954871867475,3.936852278317984,0.1820727078095925,34.8520117048383,2.6817571293483637,0.8634757032404432,0.7940087168080049,0.8236537395515278
335,0,50,20,Mode,40,[   0   71  209  424  633  693  758 1270 1327 1501 1640 1698 1880 1922],13,512,42,147.84615384615384,18393.478833529673,17.52076193800262,-0.0691330157634156,51.84506260676002,4.04657561574884,0.171457165073816,35.09838569133624,2.767740363907102,0.8758379140586834,0.8107827863276299,0.8347064326433001
336,40,35,10,Median,40,[   0   71 1318 1922],3,1247,71,640.6666666666666,101506.585668318,27.48329939253892,0.1621414016462462,143.29656647708438,2.1609145049952745,0.3009288384573841,162.78854992763087,1.8755123634234028,0.9456615650283873,0.9729491949753054,0.9870423677137906
337,40,35,10,Mode,40,[   0   71 1318 1922],3,1247,71,640.6666666666666,101506.585668318,27.48329939253892,0.1621414016462462,143.29656647708438,2.1609145049952745,0.3009288384573841,162.78854992763087,1.8755123634234028,0.9456615650283873,0.9729491949753054,0.9870423677137906
338,40,35,10,Median,40,[   0   71 1272 1880 1922],4,1201,42,480.5,87323.65381504317,30.873745546761217,0.16132713756720746,131.46328048514496,2.04183828309876,0.37325509899347553,148.26795998727908,1.7944897355917788,0.9415993720910946,0.9769345117554701,0.98822248704182
339,40,35,10,Mode,40,[   0   71 1318 1880 1922],4,1247,42,480.5,86454.55762889692,31.20784322547728,0.1463288736481995,128.47521019408583,2.0011436792433708,0.3707048319248909,140.92656775521306,1.759908650732175,0.9162691951539867,0.962214812004374,0.9813392008399313
340,40,35,10,Median,40,[   0   71  791 1295 1880 1922],5,720,42,384.4,73820.85405422814,27.04119967869357,0.08639650847394166,117.88623055913168,2.3156018891820684,0.31756640573695594,129.1476480816353,1.9634570563298241,0.894887692141934,0.9214917549432307,0.9451793490171454
341,40,35,10,Mode,40,[   0   71  791 1318 1880 1922],5,720,42,384.4,71338.74395676545,26.812853640981768,0.0874208387348428,113.72311908917136,2.3945002335300503,0.31671634365155266,123.42825540844728,2.0437919485351133,0.9157495175461073,0.9410113728560714,0.9587416429817474
342,40,35,10,Median,40,[   0   71  791 1295 1880 1922],5,720,42,384.4,73820.85405422814,27.04119967869357,0.08639650847394166,117.88623055913168,2.3156018891820684,0.31756640573695594,129.1476480816353,1.9634570563298241,0.894887692141934,0.9214917549432307,0.9451793490171454
343,40,35,10,Mode,40,[   0   71  791 1318 1880 1922],5,720,42,384.4,71338.74395676545,26.812853640981768,0.0874208387348428,113.72311908917136,2.3945002335300503,0.31671634365155266,123.42825540844728,2.0437919485351133,0.9157495175461073,0.9410113728560714,0.9587416429817474
344,40,35,10,Median,40,[   0   71  758 1295 1880 1922],5,687,42,384.4,75161.30960082973,27.093895552541614,0.08592750366920207,119.4161696519748,2.278580398253579,0.318143158156717,133.0145744196124,1.9418983969139592,0.9056849970369201,0.9306037226584672,0.9512762814265646
345,40,35,10,Mode,40,[   0   71  791 1318 1880 1922],5,720,42,384.4,71338.74395676545,26.812853640981768,0.0874208387348428,113.72311908917136,2.3945002335300503,0.31671634365155266,123.42825540844728,2.0437919485351133,0.9157495175461073,0.9410113728560714,0.9587416429817474
346,40,35,10,Median,40,[   0   71  758 1270 1318 1880 1922],6,687,42,320.3333333333333,49862.010166358,27.192207646972825,0.08381783414117433,102.85023910710281,2.968272353560335,0.3707357928574212,90.13924165001531,2.0488497280491016,0.9358970015658085,0.9572545725247699,0.9694180170596979
347,40,35,10,Mode,40,[   0   71  360  791 1270 1318 1880 1922],7,562,42,274.57142857142856,37152.64615265956,23.33475499298842,0.03203667745604857,87.10817983983908,3.611667905405849,0.3056949721516742,66.92334631286728,2.5916091681112836,0.9161561621181902,0.9269462484561678,0.9430676486074565
348,40,35,10,Median,40,[   0   71  424  758 1270 1318 1706 1880 1922],8,512,42,240.25,32806.057253971005,21.51083449743046,0.03735268760381799,81.41827172455,3.6788829465180033,0.26326651819180885,55.89876471117935,2.6105263344517557,0.8807365071133839,0.8632040543352117,0.8887013458150611
349,40,35,10,Mode,40,[   0   71  360  791 1270 1318 1706 1880 1922],8,479,42,240.25,32247.17591316583,21.403229477546578,0.0358328349726518,80.59564568721122,3.64805009445287,0.26469957985471665,58.17471779089691,2.61576339402705,0.9104350726252664,0.9178662976894094,0.9331460295452892
350,40,35,10,Median,40,[   0   71  424  753 1270 1318 1706 1880 1922],8,517,42,240.25,32712.7369044305,21.49248892869372,0.034665107410524816,81.26909298648498,3.692868627130207,0.2623072811183486,55.60387409067117,2.6198065632919905,0.875624736191111,0.8560192790639126,0.8828891076401256
351,40,35,10,Mode,40,[   0   71  360  753 1270 1318 1706 1880 1922],8,517,42,240.25,32788.43133575336,21.554032186557837,0.03635853533254795,81.53398974587564,3.6141007224989368,0.2656231968113793,59.23470040799706,2.580740628112436,0.9125098736431482,0.9227029359793146,0.9371841363245907
352,40,35,10,Median,40,[   0   71  541  753 1270 1318 1706 1880 1922],8,517,42,240.25,33165.10001676891,21.884073001623875,0.045619529952422584,82.07119739971148,3.390402000183459,0.2713586880987964,58.539396238953614,2.4345126365404353,0.923544705456866,0.9408768642936952,0.9523604938533652
353,40,35,10,Mode,40,[   0   71  360  541  753 1270 1318 1706 1880 1922],9,517,42,213.55555555555554,28749.899822798754,20.20566521933901,0.03362315000037188,73.40791361071696,3.5227634828022616,0.2427413526851258,52.343592293342354,2.6388656404598256,0.913924864374276,0.9224807816121021,0.9353355403086062
354,40,35,10,Median,40,[   0   71  541  753 1270 1318 1706 1880 1922],8,517,42,240.25,33165.10001676891,21.884073001623875,0.045619529952422584,82.07119739971148,3.390402000183459,0.2713586880987964,58.539396238953614,2.4345126365404353,0.923544705456866,0.9408768642936952,0.9523604938533652
